clusters,Linkage,sil
2,ward,0.40696546258406074
2,complete,0.696842645838162
2,average,0.768250324908252
2,single,0.8353451022340068
3,ward,0.38527650094326044
3,complete,0.47765707586440076
3,average,0.7467941505891271
3,single,0.7467941505891271
4,ward,0.37287941657698415
4,complete,0.4793943078119588
4,average,0.5810001289396372
4,single,0.7386683508781368
5,ward,0.39728136027946515
5,complete,0.4776832765650404
5,average,0.4978513762963271
5,single,0.7362140049519451
6,ward,0.37754259331231127
6,complete,0.47573241242444964
6,average,0.45419095767982587
6,single,0.5967259237758606
7,ward,0.3743556799632428
7,complete,0.4615459908601854
7,average,0.45062530740290446
7,single,0.5881910510115943
8,ward,0.3519399409552736
8,complete,0.4768645391630468
8,average,0.4396759720223221
8,single,0.5357798172220611
9,ward,0.36049826145820474
9,complete,0.4743339555321032
9,average,0.4288247291377115
9,single,0.5028932973693757
10,ward,0.3623608660818589
10,complete,0.47374865413238637
10,average,0.38256251798804985
10,single,0.4535922668414572
11,ward,0.367948619490815
11,complete,0.44857180217031106
11,average,0.38181120218911857
11,single,0.44651057224906365
12,ward,0.3603467077022601
12,complete,0.4243988940680496
12,average,0.3766104312939393
12,single,0.40549439530970655
13,ward,0.362943073017123
13,complete,0.3871630865744233
13,average,0.3298167040312226
13,single,0.3954568328377535
14,ward,0.34903166937866176
14,complete,0.384470648825953
14,average,0.4418865591334306
14,single,0.3600572338971812
