Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.20947084229875484
75% Corpus,2,0.01,0.31,0.2347728675791359
75% Corpus,2,0.01,0.61,0.20618440179042527
75% Corpus,2,0.01,0.9099999999999999,0.17349015787502872
75% Corpus,2,0.01,symmetric,0.21441466173697474
75% Corpus,2,0.31,0.01,0.2017589415890219
75% Corpus,2,0.31,0.31,0.20808224724394878
75% Corpus,2,0.31,0.61,0.24288616951570305
75% Corpus,2,0.31,0.9099999999999999,0.21068553434625792
75% Corpus,2,0.31,symmetric,0.2343608002322211
75% Corpus,2,0.61,0.01,0.1909563734664288
75% Corpus,2,0.61,0.31,0.18319492010412425
75% Corpus,2,0.61,0.61,0.2149647965621494
75% Corpus,2,0.61,0.9099999999999999,0.23110992378053755
75% Corpus,2,0.61,symmetric,0.2149647965621494
75% Corpus,2,0.9099999999999999,0.01,0.2061864621098473
75% Corpus,2,0.9099999999999999,0.31,0.18176392683572165
75% Corpus,2,0.9099999999999999,0.61,0.186438769121051
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.22172209205719143
75% Corpus,2,0.9099999999999999,symmetric,0.18489974685444016
75% Corpus,2,symmetric,0.01,0.19471637837126965
75% Corpus,2,symmetric,0.31,0.17616293849046644
75% Corpus,2,symmetric,0.61,0.221136808229265
75% Corpus,2,symmetric,0.9099999999999999,0.2078783381783878
75% Corpus,2,symmetric,symmetric,0.231535563285727
75% Corpus,2,asymmetric,0.01,0.13297480675744972
75% Corpus,2,asymmetric,0.31,0.19095098203140187
75% Corpus,2,asymmetric,0.61,0.17936283091988595
75% Corpus,2,asymmetric,0.9099999999999999,0.1835054478113991
75% Corpus,2,asymmetric,symmetric,0.17936283091988595
75% Corpus,3,0.01,0.01,0.25097148786940765
75% Corpus,3,0.01,0.31,0.25974321271506134
75% Corpus,3,0.01,0.61,0.28247815051687886
75% Corpus,3,0.01,0.9099999999999999,0.271745258995909
75% Corpus,3,0.01,symmetric,0.23787458591631352
75% Corpus,3,0.31,0.01,0.19818053817669487
75% Corpus,3,0.31,0.31,0.22973975062870977
75% Corpus,3,0.31,0.61,0.23703600650264842
75% Corpus,3,0.31,0.9099999999999999,0.23996839621081953
75% Corpus,3,0.31,symmetric,0.23054454471316185
75% Corpus,3,0.61,0.01,0.19861385808433382
75% Corpus,3,0.61,0.31,0.17715689005470522
75% Corpus,3,0.61,0.61,0.21944253027454405
75% Corpus,3,0.61,0.9099999999999999,0.20635067162365994
75% Corpus,3,0.61,symmetric,0.19804299925979152
75% Corpus,3,0.9099999999999999,0.01,0.17400837996517496
75% Corpus,3,0.9099999999999999,0.31,0.1917596347080782
75% Corpus,3,0.9099999999999999,0.61,0.21486192185263578
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.20571882618892734
75% Corpus,3,0.9099999999999999,symmetric,0.20139944463202752
75% Corpus,3,symmetric,0.01,0.19375865933748604
75% Corpus,3,symmetric,0.31,0.2314910345416875
75% Corpus,3,symmetric,0.61,0.21695139553477302
75% Corpus,3,symmetric,0.9099999999999999,0.24245601333160247
75% Corpus,3,symmetric,symmetric,0.2283893641185937
75% Corpus,3,asymmetric,0.01,0.3078134012083879
75% Corpus,3,asymmetric,0.31,0.33118633876802944
75% Corpus,3,asymmetric,0.61,0.3177157719986589
75% Corpus,3,asymmetric,0.9099999999999999,0.2843102526513929
75% Corpus,3,asymmetric,symmetric,0.35408786275653875
75% Corpus,4,0.01,0.01,0.22954269263914795
75% Corpus,4,0.01,0.31,0.21411846530861126
75% Corpus,4,0.01,0.61,0.3064531812097342
75% Corpus,4,0.01,0.9099999999999999,0.26979593928511364
75% Corpus,4,0.01,symmetric,0.26284353162867297
75% Corpus,4,0.31,0.01,0.2251229780883539
75% Corpus,4,0.31,0.31,0.22698996085869544
75% Corpus,4,0.31,0.61,0.30307806925843706
75% Corpus,4,0.31,0.9099999999999999,0.3149355253445262
75% Corpus,4,0.31,symmetric,0.24523848643287666
75% Corpus,4,0.61,0.01,0.22095693514784934
75% Corpus,4,0.61,0.31,0.2502012944823116
75% Corpus,4,0.61,0.61,0.2631245215439883
75% Corpus,4,0.61,0.9099999999999999,0.2878784251365646
75% Corpus,4,0.61,symmetric,0.2501160436978108
75% Corpus,4,0.9099999999999999,0.01,0.20850093191044594
75% Corpus,4,0.9099999999999999,0.31,0.1971934228816597
75% Corpus,4,0.9099999999999999,0.61,0.2348399708360535
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.27066533594556996
75% Corpus,4,0.9099999999999999,symmetric,0.19579029282235563
75% Corpus,4,symmetric,0.01,0.22959866222665812
75% Corpus,4,symmetric,0.31,0.22988496145333087
75% Corpus,4,symmetric,0.61,0.31275512107174464
75% Corpus,4,symmetric,0.9099999999999999,0.33488222198256823
75% Corpus,4,symmetric,symmetric,0.24606749385572346
75% Corpus,4,asymmetric,0.01,0.36958697526503903
75% Corpus,4,asymmetric,0.31,0.39496050597818494
75% Corpus,4,asymmetric,0.61,0.38809310915084355
75% Corpus,4,asymmetric,0.9099999999999999,0.3240060625859636
75% Corpus,4,asymmetric,symmetric,0.3905670136895123
75% Corpus,5,0.01,0.01,0.27491836742477727
75% Corpus,5,0.01,0.31,0.2989505276893935
75% Corpus,5,0.01,0.61,0.3316925242388196
75% Corpus,5,0.01,0.9099999999999999,0.2934114208839288
75% Corpus,5,0.01,symmetric,0.2954415334967392
75% Corpus,5,0.31,0.01,0.2479686948831621
75% Corpus,5,0.31,0.31,0.33101007715795566
75% Corpus,5,0.31,0.61,0.376178887363615
75% Corpus,5,0.31,0.9099999999999999,0.3250889599246262
75% Corpus,5,0.31,symmetric,0.2927163040956896
75% Corpus,5,0.61,0.01,0.2576371107810659
75% Corpus,5,0.61,0.31,0.26175426476249386
75% Corpus,5,0.61,0.61,0.279889190871774
75% Corpus,5,0.61,0.9099999999999999,0.33656815072843316
75% Corpus,5,0.61,symmetric,0.23964480242163555
75% Corpus,5,0.9099999999999999,0.01,0.20968662585267445
75% Corpus,5,0.9099999999999999,0.31,0.2356763475835911
75% Corpus,5,0.9099999999999999,0.61,0.24706167524857925
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.3221264756850132
75% Corpus,5,0.9099999999999999,symmetric,0.251840336687439
75% Corpus,5,symmetric,0.01,0.24307305938495122
75% Corpus,5,symmetric,0.31,0.306789425636783
75% Corpus,5,symmetric,0.61,0.34043760930540784
75% Corpus,5,symmetric,0.9099999999999999,0.3270644800290001
75% Corpus,5,symmetric,symmetric,0.3327019667078034
75% Corpus,5,asymmetric,0.01,0.37869151033896625
75% Corpus,5,asymmetric,0.31,0.4472744574991815
75% Corpus,5,asymmetric,0.61,0.39739156838395034
75% Corpus,5,asymmetric,0.9099999999999999,0.36012098079785226
75% Corpus,5,asymmetric,symmetric,0.40010633732961265
75% Corpus,6,0.01,0.01,0.2644420326788513
75% Corpus,6,0.01,0.31,0.29658468117087783
75% Corpus,6,0.01,0.61,0.409590197737338
75% Corpus,6,0.01,0.9099999999999999,0.2941787610214867
75% Corpus,6,0.01,symmetric,0.251799352259446
75% Corpus,6,0.31,0.01,0.28123360095295963
75% Corpus,6,0.31,0.31,0.31396536015497095
75% Corpus,6,0.31,0.61,0.3390605497890676
75% Corpus,6,0.31,0.9099999999999999,0.3653197686747262
75% Corpus,6,0.31,symmetric,0.29083485325585173
75% Corpus,6,0.61,0.01,0.23529560003144848
75% Corpus,6,0.61,0.31,0.29473505979928966
75% Corpus,6,0.61,0.61,0.31757927691793925
75% Corpus,6,0.61,0.9099999999999999,0.36551588144828434
75% Corpus,6,0.61,symmetric,0.3101974751450116
75% Corpus,6,0.9099999999999999,0.01,0.24613684650011716
75% Corpus,6,0.9099999999999999,0.31,0.293444873137573
75% Corpus,6,0.9099999999999999,0.61,0.29859063165619615
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.34353122862653135
75% Corpus,6,0.9099999999999999,symmetric,0.3006330896723866
75% Corpus,6,symmetric,0.01,0.287177625621111
75% Corpus,6,symmetric,0.31,0.3277301797040883
75% Corpus,6,symmetric,0.61,0.3629321172252451
75% Corpus,6,symmetric,0.9099999999999999,0.38056299915363007
75% Corpus,6,symmetric,symmetric,0.27511674805622777
75% Corpus,6,asymmetric,0.01,0.3878147889973019
75% Corpus,6,asymmetric,0.31,0.5262495185519449
75% Corpus,6,asymmetric,0.61,0.4543454438374311
75% Corpus,6,asymmetric,0.9099999999999999,0.35705068080736496
75% Corpus,6,asymmetric,symmetric,0.43560832585118864
75% Corpus,7,0.01,0.01,0.27744719545320323
75% Corpus,7,0.01,0.31,0.31992181759512495
75% Corpus,7,0.01,0.61,0.43576660986407934
75% Corpus,7,0.01,0.9099999999999999,0.2817621828976795
75% Corpus,7,0.01,symmetric,0.33343529435802904
75% Corpus,7,0.31,0.01,0.28589502251086396
75% Corpus,7,0.31,0.31,0.320329433642641
75% Corpus,7,0.31,0.61,0.40491004328996344
75% Corpus,7,0.31,0.9099999999999999,0.3808036949350315
75% Corpus,7,0.31,symmetric,0.33698786144836307
75% Corpus,7,0.61,0.01,0.3067318831640451
75% Corpus,7,0.61,0.31,0.3217166765705577
75% Corpus,7,0.61,0.61,0.34207830912559334
75% Corpus,7,0.61,0.9099999999999999,0.3475414761003231
75% Corpus,7,0.61,symmetric,0.2949409018289565
75% Corpus,7,0.9099999999999999,0.01,0.2722237147596223
75% Corpus,7,0.9099999999999999,0.31,0.3150675770771256
75% Corpus,7,0.9099999999999999,0.61,0.32328522064391957
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.35574492586234296
75% Corpus,7,0.9099999999999999,symmetric,0.2879388545021923
75% Corpus,7,symmetric,0.01,0.31711999672483443
75% Corpus,7,symmetric,0.31,0.3498853483230624
75% Corpus,7,symmetric,0.61,0.4124726476431578
75% Corpus,7,symmetric,0.9099999999999999,0.35259010949670644
75% Corpus,7,symmetric,symmetric,0.32134293774702555
75% Corpus,7,asymmetric,0.01,0.34525771809184513
75% Corpus,7,asymmetric,0.31,0.49979681334132314
75% Corpus,7,asymmetric,0.61,0.471871366750913
75% Corpus,7,asymmetric,0.9099999999999999,0.3926916782766721
75% Corpus,7,asymmetric,symmetric,0.4466463614514914
75% Corpus,8,0.01,0.01,0.3123768358346193
75% Corpus,8,0.01,0.31,0.40829389251454395
75% Corpus,8,0.01,0.61,0.45685863981177777
75% Corpus,8,0.01,0.9099999999999999,0.3367614196264751
75% Corpus,8,0.01,symmetric,0.3430852352241037
75% Corpus,8,0.31,0.01,0.3071627251170052
75% Corpus,8,0.31,0.31,0.37082594370540223
75% Corpus,8,0.31,0.61,0.441036204470232
75% Corpus,8,0.31,0.9099999999999999,0.46961892715146636
75% Corpus,8,0.31,symmetric,0.3300286999726249
75% Corpus,8,0.61,0.01,0.31041975234763675
75% Corpus,8,0.61,0.31,0.3231526886648285
75% Corpus,8,0.61,0.61,0.32912562160401826
75% Corpus,8,0.61,0.9099999999999999,0.3603561359533818
75% Corpus,8,0.61,symmetric,0.30228490333862773
75% Corpus,8,0.9099999999999999,0.01,0.30321731022396875
75% Corpus,8,0.9099999999999999,0.31,0.3057643778096193
75% Corpus,8,0.9099999999999999,0.61,0.31954211252790415
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.3384160013254214
75% Corpus,8,0.9099999999999999,symmetric,0.2977059303802324
75% Corpus,8,symmetric,0.01,0.31718614003246925
75% Corpus,8,symmetric,0.31,0.3979958128004395
75% Corpus,8,symmetric,0.61,0.45725606948289865
75% Corpus,8,symmetric,0.9099999999999999,0.3805028592139531
75% Corpus,8,symmetric,symmetric,0.34365449844775275
75% Corpus,8,asymmetric,0.01,0.37641947176781076
75% Corpus,8,asymmetric,0.31,0.5204905957350963
75% Corpus,8,asymmetric,0.61,0.5189049020941552
75% Corpus,8,asymmetric,0.9099999999999999,0.38583184557456873
75% Corpus,8,asymmetric,symmetric,0.47605668091490927
75% Corpus,9,0.01,0.01,0.30951456986344805
75% Corpus,9,0.01,0.31,0.41171593499120235
75% Corpus,9,0.01,0.61,0.3703219112674025
75% Corpus,9,0.01,0.9099999999999999,0.29425737644699707
75% Corpus,9,0.01,symmetric,0.377563622887814
75% Corpus,9,0.31,0.01,0.3255608339997214
75% Corpus,9,0.31,0.31,0.37684703985074897
75% Corpus,9,0.31,0.61,0.44365830724664845
75% Corpus,9,0.31,0.9099999999999999,0.4073632086252838
75% Corpus,9,0.31,symmetric,0.34027572012893176
75% Corpus,9,0.61,0.01,0.32547032389312763
75% Corpus,9,0.61,0.31,0.33403880800179697
75% Corpus,9,0.61,0.61,0.37570027891665736
75% Corpus,9,0.61,0.9099999999999999,0.373213977952442
75% Corpus,9,0.61,symmetric,0.33490842938021836
75% Corpus,9,0.9099999999999999,0.01,0.3498611590210738
75% Corpus,9,0.9099999999999999,0.31,0.31593789063047356
75% Corpus,9,0.9099999999999999,0.61,0.33206664575483935
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.3602112524153957
75% Corpus,9,0.9099999999999999,symmetric,0.34535288098040073
75% Corpus,9,symmetric,0.01,0.3305914365178898
75% Corpus,9,symmetric,0.31,0.42190309905761586
75% Corpus,9,symmetric,0.61,0.4188191013126292
75% Corpus,9,symmetric,0.9099999999999999,0.24813460752122132
75% Corpus,9,symmetric,symmetric,0.38240973844901566
75% Corpus,9,asymmetric,0.01,0.380519240818539
75% Corpus,9,asymmetric,0.31,0.5032637066262493
75% Corpus,9,asymmetric,0.61,0.4095227013227297
75% Corpus,9,asymmetric,0.9099999999999999,0.2778407958478571
75% Corpus,9,asymmetric,symmetric,0.4695042639003078
75% Corpus,10,0.01,0.01,0.33211594784982956
75% Corpus,10,0.01,0.31,0.3960379403719366
75% Corpus,10,0.01,0.61,0.42662961049094433
75% Corpus,10,0.01,0.9099999999999999,0.2511345991414661
75% Corpus,10,0.01,symmetric,0.34488880968937874
75% Corpus,10,0.31,0.01,0.35700359119125313
75% Corpus,10,0.31,0.31,0.3823899490847789
75% Corpus,10,0.31,0.61,0.43938751112288604
75% Corpus,10,0.31,0.9099999999999999,0.3897100913991081
75% Corpus,10,0.31,symmetric,0.37046744644698565
75% Corpus,10,0.61,0.01,0.3353994201773142
75% Corpus,10,0.61,0.31,0.3835333435585494
